"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",-1.458253870835,0.12910082267496,-11.2954653628077,1.38170232213725e-29,"fixed"
"2","ot1",2.50142749530537,0.141066690711047,17.7322334755067,2.36451663848818e-70,"fixed"
"3","ot2",0.881538147915976,0.0984341899457616,8.9556093101565,3.37864442595809e-19,"fixed"
"4","ot3",-0.147129938831727,0.0586530438414282,-2.50847917167778,0.012125211626951,"fixed"
"5","Group1",-0.195706383063588,0.128955002316833,-1.5176331243262,0.129106911567685,"fixed"
"6","SNR1",0.0537662986582783,0.128954322977688,0.416940645468559,0.676721822714219,"fixed"
"7","Condition1",0.169756163572304,0.02928716067095,5.79626565646173,6.78078234643979e-09,"fixed"
"8","Group1:SNR1",-0.173479037460359,0.12906126228387,-1.34416039631467,0.17889652520196,"fixed"
"9","Group1:Condition1",-0.0401759753319138,0.0292773058269456,-1.37225657201481,0.169983579816292,"fixed"
"10","SNR1:Condition1",0.0298259825342808,0.0292787688780317,1.0186897768321,0.308350267529727,"fixed"
"11","ot1:Group1",-0.193463862154934,0.1364620865334,-1.41771144696357,0.156275026698998,"fixed"
"12","ot1:SNR1",0.730101859390206,0.136348153852231,5.35468826502382,8.57040450414131e-08,"fixed"
"13","ot1:Condition1",0.817168911090043,0.119448084207309,6.84120567117507,7.85294139918229e-12,"fixed"
"14","ot2:Group1",-0.0741790902506608,0.0923425066539451,-0.803303840653233,0.421799138627964,"fixed"
"15","ot2:SNR1",-0.0792453020621114,0.0920918612464773,-0.860502773964108,0.389511955066515,"fixed"
"16","ot2:Condition1",0.166210748703488,0.070638658350859,2.35297148309254,0.0186240623185845,"fixed"
"17","ot3:Group1",0.0398826931422786,0.057851119765445,0.689402267475226,0.490570156908938,"fixed"
"18","ot3:SNR1",-0.27640641214189,0.0578413710148988,-4.77869744945522,1.76434447649116e-06,"fixed"
"19","ot3:Condition1",-0.189230361531833,0.0578227819987136,-3.27259178806103,0.00106566264633145,"fixed"
"20","Group1:SNR1:Condition1",-0.011946753154785,0.0292818661213835,-0.407991522987695,0.683279898426932,"fixed"
"21","ot1:Group1:SNR1",0.139247131027595,0.138352273610565,1.00646796321938,0.314190515035654,"fixed"
"22","ot1:Group1:Condition1",-0.0257934463121137,0.119338353123833,-0.21613710627755,0.8288808765958,"fixed"
"23","ot1:SNR1:Condition1",0.0243438471643388,0.119339152897921,0.203988771272424,0.838362273651173,"fixed"
"24","ot2:Group1:SNR1",0.131974485570228,0.0943787230278887,1.39834998118411,0.162007995653005,"fixed"
"25","ot2:Group1:Condition1",0.0178125303114394,0.0705173698751213,0.25259776907425,0.800579054147909,"fixed"
"26","ot2:SNR1:Condition1",-0.129095657821768,0.0705318227312587,-1.83031790222762,0.0672024159421483,"fixed"
"27","ot3:Group1:SNR1",-0.0929544687636614,0.0578335389006331,-1.60727616761221,0.107993799894959,"fixed"
"28","ot3:Group1:Condition1",0.0869628229634737,0.0577134195140646,1.50680420075059,0.131860852511488,"fixed"
"29","ot3:SNR1:Condition1",0.00510620993654333,0.0577512557577235,0.0884172970708163,0.929545014061524,"fixed"
"30","ot1:Group1:SNR1:Condition1",0.064654459300864,0.119349630385553,0.541723163213836,0.588009230343715,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.111244097541818,0.0705470066923208,-1.57687905919228,0.114823355805027,"fixed"
"32","ot3:Group1:SNR1:Condition1",0.0581529867753546,0.0577442356025032,1.00707864895234,0.31389698062324,"fixed"
"33","sd_(Intercept).Subject:Condition",0.350537883609367,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",1.37834745821576,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",0.699453147989009,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",0.503345007258265,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",-0.279566234092731,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",-0.352457578819939,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",0.626143693598011,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",-0.0253868898771058,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",-0.807487148837947,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",-0.337399366784775,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",1.11934677542347,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",0.575923606665194,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",0.511097087805485,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",0.737967466594656,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",0.0156354735257177,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",0.326773137575299,NA,NA,NA,"Subject"
