"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-1.07711012881397,0.134660913197344,-7.99868427474182,1.2575571277049e-15
"2","fixed",NA,"ot1",4.27576754954036,0.190521759244094,22.4424106018374,1.51790176034839e-111
"3","fixed",NA,"ot2",0.53145673055455,0.0993288197332456,5.35047866250514,8.77218958370594e-08
"4","fixed",NA,"ot3",-0.518959062042197,0.0641776880925389,-8.08628477382827,6.15122680013859e-16
"5","fixed",NA,"Group1",-0.23168420449538,0.134607386459213,-1.7211849259519,0.085217272292583
"6","fixed",NA,"SNR1",0.0604637456141599,0.134607576044374,0.449185308813731,0.65329798448177
"7","fixed",NA,"Condition1",0.229523803260081,0.0276473046179935,8.30185099167682,1.02501716784338e-16
"8","fixed",NA,"Group1:SNR1",-0.156117987096398,0.134639974610966,-1.15952181027582,0.246243551594978
"9","fixed",NA,"Group1:Condition1",-0.0386163050907137,0.0276514464982385,-1.3965383363642,0.162552444580607
"10","fixed",NA,"SNR1:Condition1",0.0133601716345901,0.0276483209046133,0.483218191827372,0.62894081975191
"11","fixed",NA,"ot1:Group1",-0.26729436327335,0.187657461877925,-1.4243737531057,0.154338307921667
"12","fixed",NA,"ot1:SNR1",0.439978125316,0.18753702085134,2.3460867796592,0.0189716897618738
"13","fixed",NA,"ot1:Condition1",0.872675650846434,0.126156754497686,6.91739141769411,4.60035736350028e-12
"14","fixed",NA,"ot2:Group1",0.0333301494726895,0.0949512230082294,0.35102390908436,0.725570411455849
"15","fixed",NA,"ot2:SNR1",-0.528294087307946,0.0946341035930524,-5.58249158865315,2.3709708029958e-08
"16","fixed",NA,"ot2:Condition1",-0.294162494155071,0.0837227365484631,-3.51353176308081,0.000442191541859101
"17","fixed",NA,"ot3:Group1",0.138742186863281,0.0636299623668962,2.18045369983532,0.0292238473066681
"18","fixed",NA,"ot3:SNR1",-0.0343535742084728,0.0636575283148175,-0.539662395287761,0.589429878015267
"19","fixed",NA,"ot3:Condition1",-0.241140254354155,0.0635998587792639,-3.79152185213306,0.000149726971234326
"20","fixed",NA,"Group1:SNR1:Condition1",-0.0121811795414046,0.0276479473767861,-0.440581695827164,0.659515856556063
"21","fixed",NA,"ot1:Group1:SNR1",0.242392486493285,0.188917564132144,1.28305955884407,0.199471210709315
"22","fixed",NA,"ot1:Group1:Condition1",0.065262698743271,0.126137587969971,0.517392949980999,0.604881880087561
"23","fixed",NA,"ot1:SNR1:Condition1",-0.16311334452776,0.126134507080479,-1.29316987320279,0.195952312891398
"24","fixed",NA,"ot2:Group1:SNR1",-0.00525506497824999,0.0963346031531127,-0.054550128471466,0.956496871268459
"25","fixed",NA,"ot2:Group1:Condition1",0.0601668034358628,0.0837145039354607,0.718714208499021,0.472317026971715
"26","fixed",NA,"ot2:SNR1:Condition1",-0.143593976671965,0.0836863564626091,-1.71585886566973,0.0861878770006861
"27","fixed",NA,"ot3:Group1:SNR1",-0.0553206709935191,0.0636337816628613,-0.869360103201379,0.384650198014495
"28","fixed",NA,"ot3:Group1:Condition1",0.056192142899742,0.0636164642995529,0.883295598371332,0.377076581372351
"29","fixed",NA,"ot3:SNR1:Condition1",0.0724078274300272,0.0636134946192749,1.13824634007904,0.255017633582419
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.0327943856106544,0.126128566870475,-0.260007597203033,0.794857913372542
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.103062608932002,0.0836590164527465,-1.2319366555094,0.217972747379661
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.0845281007537689,0.0636039628650225,1.3289753805616,0.183856092400302
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.333844457318337,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",-0.0655353674737295,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",0.0363532730672667,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",0.196056851786188,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",1.47117198247168,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",-0.137145125062573,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.638037554681607,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",0.900036299670137,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.212127261985177,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",0.607794963380895,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.17511054445567,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",0.73334967191835,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",0.256477161380844,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",1.22235496498123,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.84519824673014,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",0.374249231882342,NA,NA,NA
