"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",1.4203541180174,0.125481497917329,11.3192314531755,1.05391802872447e-29,"fixed"
"2","ot1",12.0899471075971,0.79037388217824,15.2964911672913,8.0691246117626e-53,"fixed"
"3","ot2",0.847386423513588,0.447293346728589,1.89447580589159,0.0581618827772191,"fixed"
"4","ot3",0.930681953077845,0.211673990742471,4.39677047620906,1.09873422228575e-05,"fixed"
"5","Group1",-0.570740925459674,0.125238898147451,-4.55721771671696,5.18356859738811e-06,"fixed"
"6","SNR1",0.489960448944961,0.125267259861721,3.91132087894168,9.17927211098065e-05,"fixed"
"7","Condition1",0.44778424299879,0.0530125415258618,8.44676052326867,2.99497199611218e-17,"fixed"
"8","Group1:SNR1",-0.358103323837426,0.125311000123425,-2.85771658900426,0.0042670131555739,"fixed"
"9","Group1:Condition1",-0.103780700079588,0.0528972260439318,-1.9619308580264,0.0497705346105292,"fixed"
"10","SNR1:Condition1",0.179430928377581,0.0529371509471466,3.38950859967375,0.000700180126740171,"fixed"
"11","ot1:Group1",-2.25254986691984,0.78526630553113,-2.8685171527846,0.00412400836424039,"fixed"
"12","ot1:SNR1",3.22611771323892,0.78518612610726,4.10872989979221,3.97841038497876e-05,"fixed"
"13","ot1:Condition1",1.63032557792849,0.450840834912432,3.61618880030057,0.000298972354735467,"fixed"
"14","ot2:Group1",-0.384442034941637,0.440573683911567,-0.872594185672704,0.382884310842269,"fixed"
"15","ot2:SNR1",0.0795682549075273,0.441035202047616,0.180412480768229,0.856828756853042,"fixed"
"16","ot2:Condition1",1.03911517232669,0.359074377942879,2.89387167717098,0.00380523638682293,"fixed"
"17","ot3:Group1",0.156364203402052,0.209431231523434,0.746613588931483,0.455296843342384,"fixed"
"18","ot3:SNR1",-0.580734857668167,0.209366418500506,-2.77377270828543,0.00554103768748722,"fixed"
"19","ot3:Condition1",-0.238423045389047,0.209202791640007,-1.13967430128429,0.254422017476526,"fixed"
"20","Group1:SNR1:Condition1",-0.215557529905963,0.0530401999819757,-4.06404067064632,4.82304162849194e-05,"fixed"
"21","ot1:Group1:SNR1",-1.60064540116489,0.787630773826292,-2.0322281129126,0.0421305681170177,"fixed"
"22","ot1:Group1:Condition1",-0.526060084892034,0.448429433663025,-1.17311676130373,0.240748985838026,"fixed"
"23","ot1:SNR1:Condition1",1.64064305010912,0.449079292987508,3.6533482521421,0.000258842787366732,"fixed"
"24","ot2:Group1:SNR1",-0.228414593012968,0.442512145030412,-0.516177003452119,0.605730790224318,"fixed"
"25","ot2:Group1:Condition1",0.286443549849811,0.357774523429689,0.800625900089007,0.42334825202754,"fixed"
"26","ot2:SNR1:Condition1",0.0902330054956148,0.357921087415049,0.252103071510229,0.800961395906473,"fixed"
"27","ot3:Group1:SNR1",-0.00345688229030376,0.210576387406677,-0.0164162864263961,0.986902286810827,"fixed"
"28","ot3:Group1:Condition1",0.402378936727643,0.208924411270516,1.92595462770811,0.0541100394630457,"fixed"
"29","ot3:SNR1:Condition1",-0.199784656726303,0.208802383436275,-0.956812146673964,0.338662080235966,"fixed"
"30","ot1:Group1:SNR1:Condition1",-1.66087745838764,0.451332965486426,-3.67993828369621,0.000233290407601243,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.566725108625274,0.359582364873889,-1.5760648017987,0.115010869773079,"fixed"
"32","ot3:Group1:SNR1:Condition1",-0.195008511003051,0.209337506341302,-0.931550749845613,0.351568745581056,"fixed"
"33","sd_(Intercept).Subject:Condition",0.649837295896168,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",5.31862125177598,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",4.27392900555071,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",2.49823223828551,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",0.822258784115957,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",0.553826935524199,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",0.429072359826673,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",0.696371269243659,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",0.439444334636478,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",0.778899515867383,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",1.01348013304724,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",5.79811153721857,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",2.28724624009406,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",-0.345879618349144,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",-0.223625768504845,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",0.449563502008565,NA,NA,NA,"Subject"
