"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-0.46680126711927,0.137375159664464,-3.39800345462326,0.000678795629226475
"2","fixed",NA,"ot1",12.6696092845094,0.423546472729255,29.913150268656,1.32736359749302e-196
"3","fixed",NA,"ot2",0.855107184890106,0.344717334449396,2.48060395992541,0.0131160010476409
"4","fixed",NA,"ot3",-2.11785030141945,0.167241229594968,-12.6634461283772,9.42685067449539e-37
"5","fixed",NA,"Group1",-0.323060394957523,0.137347614117898,-2.35213692667578,0.0186659023462832
"6","fixed",NA,"SNR1",0.122708342080867,0.13735061004389,0.893394955010798,0.37164570340725
"7","fixed",NA,"Condition1",0.215579907222328,0.0225389406080281,9.56477551325287,1.12445237376398e-21
"8","fixed",NA,"Group1:SNR1",-0.219492940662941,0.137371084487505,-1.5978103505684,0.110085190397097
"9","fixed",NA,"Group1:Condition1",-0.0636084267940161,0.0225344265560942,-2.82272223061358,0.00476178076467785
"10","fixed",NA,"SNR1:Condition1",0.0286871871404525,0.0225346671367889,1.27302466756295,0.203009288672948
"11","fixed",NA,"ot1:Group1",-1.21365429882431,0.422442235237509,-2.87294734661643,0.00406661886418946
"12","fixed",NA,"ot1:SNR1",1.84270022865335,0.422560300302974,4.36079827502049,1.29588797003193e-05
"13","fixed",NA,"ot1:Condition1",1.01542626141177,0.247076493741354,4.10976473737215,3.96062419085503e-05
"14","fixed",NA,"ot2:Group1",-0.389066307048258,0.343728627487826,-1.13189963225288,0.257676633324606
"15","fixed",NA,"ot2:SNR1",0.635052037248697,0.343746828461334,1.84744115339563,0.0646832294233321
"16","fixed",NA,"ot2:Condition1",-0.571776945477701,0.16526521347672,-3.45975377061576,0.000540669545026056
"17","fixed",NA,"ot3:Group1",0.0341660402048167,0.166728024172203,0.204920800653936,0.837634003495484
"18","fixed",NA,"ot3:SNR1",0.218356845867057,0.166721181289742,1.30971268424243,0.190293050942626
"19","fixed",NA,"ot3:Condition1",-0.0299543395045217,0.166000496421632,-0.180447288714362,0.856801432540546
"20","fixed",NA,"Group1:SNR1:Condition1",-0.0560249149886692,0.0225332495615912,-2.48632203870701,0.0129071106704052
"21","fixed",NA,"ot1:Group1:SNR1",-0.642295646542468,0.423123204135641,-1.51798729132465,0.129017602476329
"22","fixed",NA,"ot1:Group1:Condition1",-0.144296151614223,0.247063279161697,-0.584045318688517,0.559189822399989
"23","fixed",NA,"ot1:SNR1:Condition1",0.569327860583981,0.247052523677096,2.3044810557293,0.0211956545808143
"24","fixed",NA,"ot2:Group1:SNR1",-0.216110610888331,0.344395820154006,-0.627506485972132,0.530327285955544
"25","fixed",NA,"ot2:Group1:Condition1",-0.352857392636513,0.165313222467536,-2.13447773486967,0.0328036943307585
"26","fixed",NA,"ot2:SNR1:Condition1",0.256829739695456,0.16531058762649,1.55361942258501,0.12027522359094
"27","fixed",NA,"ot3:Group1:SNR1",-0.204866799190017,0.166942542899651,-1.22716951372403,0.21975888521857
"28","fixed",NA,"ot3:Group1:Condition1",-0.115019741497388,0.165976947082081,-0.692986246099026,0.488318182946382
"29","fixed",NA,"ot3:SNR1:Condition1",0.230251016132849,0.165998897893004,1.38706352304375,0.165422393659525
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.391157929465779,0.246998290094316,-1.5836463050672,0.113274230235551
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.256761071102759,0.165229060585552,-1.5539704104885,0.120191474853676
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.124305437681389,0.165988659420602,0.748879098820896,0.453930079063561
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.276448663376473,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.421489068321698,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",-0.0251735430157979,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",-0.296401587511555,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",3.03892706599717,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",0.100074137224461,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.355287860989261,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",1.97533487954273,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.184822851226284,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",2.00407089274229,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.21144183258747,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",-0.142669838476595,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",-0.792571733071549,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",3.06918484834214,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.41598401979476,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",2.68692204927486,NA,NA,NA
