"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-0.515320598805295,0.137847710476099,-3.73833266454322,0.00018524472705412
"2","fixed",NA,"ot1",12.6574097242927,0.423242896542193,29.9057818281207,1.65504243647362e-196
"3","fixed",NA,"ot2",1.08805764718838,0.333266720965994,3.26482537480665,0.00109531580979444
"4","fixed",NA,"ot3",-2.1739279839148,0.170419221214949,-12.756354408948,2.87336831175856e-37
"5","fixed",NA,"Group1",-0.318134651932461,0.137809082240552,-2.30851731076144,0.0209703811511366
"6","fixed",NA,"SNR1",0.115523230619305,0.137819137847302,0.838223431257421,0.401905229718146
"7","fixed",NA,"Condition1",0.210417515908827,0.0221262193477769,9.5098720934432,1.90897109694168e-21
"8","fixed",NA,"Group1:SNR1",-0.216815577856266,0.137838097876823,-1.57297279341463,0.115725118055084
"9","fixed",NA,"Group1:Condition1",-0.0633345468600906,0.0221229624100339,-2.86284204105347,0.00419859818746575
"10","fixed",NA,"SNR1:Condition1",0.0257966732945333,0.0221224147338859,1.16608759056576,0.243579033401304
"11","fixed",NA,"ot1:Group1",-1.19738099394803,0.422084664491491,-2.83682657693944,0.00455643536823571
"12","fixed",NA,"ot1:SNR1",1.79750820270724,0.422101461390435,4.25847424641959,2.05826926707876e-05
"13","fixed",NA,"ot1:Condition1",1.03714896063677,0.243664114227348,4.25646987011421,2.0768000957245e-05
"14","fixed",NA,"ot2:Group1",-0.413096998947465,0.331941641274566,-1.24448682413356,0.21332044565479
"15","fixed",NA,"ot2:SNR1",0.634500538065904,0.331997789902783,1.91115892142445,0.0559841610714436
"16","fixed",NA,"ot2:Condition1",-0.561276570080173,0.167784146081796,-3.34523006605491,0.000822143428688728
"17","fixed",NA,"ot3:Group1",0.013681683768941,0.16982298442318,0.0805643818792385,0.935788393235233
"18","fixed",NA,"ot3:SNR1",0.213970241202552,0.169813386588724,1.26003164709725,0.207657946022729
"19","fixed",NA,"ot3:Condition1",-0.0922971717210073,0.169152473694884,-0.54564482389712,0.585310106383113
"20","fixed",NA,"Group1:SNR1:Condition1",-0.0554420786017812,0.0221221801693157,-2.50617607204382,0.0122044828420759
"21","fixed",NA,"ot1:Group1:SNR1",-0.647397304149455,0.422829016030443,-1.53110898165712,0.125742460404624
"22","fixed",NA,"ot1:Group1:Condition1",-0.135165271554489,0.243664180815412,-0.55471949591509,0.579086538926317
"23","fixed",NA,"ot1:SNR1:Condition1",0.553893238404357,0.243646181760058,2.2733507843346,0.0230050494481647
"24","fixed",NA,"ot2:Group1:SNR1",-0.222143419610887,0.332834558158752,-0.667428949805538,0.504498179212279
"25","fixed",NA,"ot2:Group1:Condition1",-0.359774564633363,0.16782416652688,-2.14375898345807,0.0320522033801328
"26","fixed",NA,"ot2:SNR1:Condition1",0.240154466071189,0.167815421999826,1.43106314788779,0.152412117840972
"27","fixed",NA,"ot3:Group1:SNR1",-0.236609436074796,0.17011279829115,-1.39089732490224,0.164256564136522
"28","fixed",NA,"ot3:Group1:Condition1",-0.13621950509329,0.169124958995495,-0.805437032489796,0.420567528877804
"29","fixed",NA,"ot3:SNR1:Condition1",0.238902120168478,0.169142105684848,1.41243435040125,0.157822108131484
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.372610243497742,0.24360537210842,-1.52956496924832,0.126124446007378
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.27826352948656,0.167754623611436,-1.65875326411922,0.0971655214518987
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.111520088301377,0.169136710217373,0.65934880818039,0.509671806895726
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.271169049544633,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.423435245657855,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",-0.0306105555798862,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",-0.300637175803936,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",2.99659068025349,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",0.100942756953163,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.349399250932861,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",2.00848771146327,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.158776676587017,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",2.04302517113917,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.21612246163783,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",-0.122772227071595,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",-0.746789614355847,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",3.07420870098164,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.443010066406886,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",2.55225704404052,NA,NA,NA
