"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",0.492004362858363,0.148144994320738,3.32110014998659,0.000896633568360783
"2","fixed",NA,"ot1",5.34564401318329,0.293280086715018,18.2270950375764,3.14593731693873e-74
"3","fixed",NA,"ot2",-0.487926066998069,0.208828632380603,-2.33649026685572,0.0194657042927244
"4","fixed",NA,"ot3",0.402439894433033,0.0962561104632673,4.18092828077247,2.90321431807477e-05
"5","fixed",NA,"Group1",-0.406627679230697,0.148132144747133,-2.74503336142756,0.00605047465700743
"6","fixed",NA,"SNR1",0.245150868320622,0.148135727691397,1.65490710540358,0.097943342735676
"7","fixed",NA,"Condition1",0.311484026148973,0.0320927033626909,9.70575842828766,2.84949126314529e-22
"8","fixed",NA,"Group1:SNR1",-0.246420647021347,0.148136374578136,-1.66347156613698,0.0962180779341712
"9","fixed",NA,"Group1:Condition1",-0.0699360006649813,0.0320981874862745,-2.17881463540229,0.0293454412798028
"10","fixed",NA,"SNR1:Condition1",0.0539130566445292,0.0320968017256816,1.67970183151899,0.0930153432719863
"11","fixed",NA,"ot1:Group1",-0.947054512200187,0.292773700236479,-3.23476634491155,0.00121742313658941
"12","fixed",NA,"ot1:SNR1",1.23117622514277,0.29272881731708,4.20585932203996,2.60091989623647e-05
"13","fixed",NA,"ot1:Condition1",-0.127273074498021,0.183849944578412,-0.692266047672041,0.488770267809972
"14","fixed",NA,"ot2:Group1",-0.211505311593614,0.208373681324626,-1.01502891463586,0.310092044595556
"15","fixed",NA,"ot2:SNR1",0.762824898924658,0.208221443205404,3.66352709491191,0.000248765888021932
"16","fixed",NA,"ot2:Condition1",0.33731941644997,0.104060276097293,3.24157718104252,0.00118870241210507
"17","fixed",NA,"ot3:Group1",0.125042775864745,0.0959293317464343,1.3034884491353,0.192408057322408
"18","fixed",NA,"ot3:SNR1",-0.0997772794804766,0.0959107978317379,-1.04031330920135,0.298194362798712
"19","fixed",NA,"ot3:Condition1",0.111798110382004,0.095656324647427,1.16874771003457,0.242505293484002
"20","fixed",NA,"Group1:SNR1:Condition1",-0.085033647770889,0.0320949107688375,-2.64944334581083,0.00806244887186697
"21","fixed",NA,"ot1:Group1:SNR1",-0.788629279466559,0.293003700411807,-2.69153351428042,0.00711243517438596
"22","fixed",NA,"ot1:Group1:Condition1",-0.421606426058838,0.183879684572513,-2.29283853210319,0.0218573027324084
"23","fixed",NA,"ot1:SNR1:Condition1",0.648295831887506,0.183801556258593,3.52715093976358,0.000420057224922254
"24","fixed",NA,"ot2:Group1:SNR1",0.0453062986510138,0.208501077927019,0.217295273009918,0.82797824068597
"25","fixed",NA,"ot2:Group1:Condition1",-0.272404995732167,0.104076195951768,-2.61736118659071,0.00886125219352885
"26","fixed",NA,"ot2:SNR1:Condition1",0.230932008500839,0.103967348739158,2.22119743651654,0.0263375917585169
"27","fixed",NA,"ot3:Group1:SNR1",0.14315729686387,0.0959633964427706,1.49179064279205,0.135754037729136
"28","fixed",NA,"ot3:Group1:Condition1",0.0708987578787658,0.0957014435330754,0.740832690305894,0.458794891392849
"29","fixed",NA,"ot3:SNR1:Condition1",-0.201005100073337,0.0956265563320306,-2.10197990791821,0.0355550358740988
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.386560927243179,0.183789377303366,-2.10328220768231,0.0354411078095687
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",0.0174862300879724,0.104008084655863,0.168123758319654,0.866485918939688
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.00958759442458823,0.0956583569702057,0.100227462902948,0.920163743543728
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.396364925981224,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.308798001171393,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",-0.012662141684371,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",0.171839695419675,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",2.22380320605564,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",0.243137352267079,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.64011869880878,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",1.1650282796898,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.0988347916852895,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",1.07114164445717,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.29226222139292,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",-0.264252056008967,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",-0.851538684980164,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",2.0250885223502,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.611008010661966,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",1.60615193327535,NA,NA,NA
