"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",-1.21784203175791,0.129509466688297,-9.40349816040092,5.27785249278976e-21,"fixed"
"2","ot1",4.66994918852104,0.214173687890175,21.8044953818777,2.10312732293123e-105,"fixed"
"3","ot2",1.27922552075777,0.136888720422291,9.34500312963301,9.18867553155435e-21,"fixed"
"4","ot3",-0.525695654801725,0.0780634932533514,-6.7342061300742,1.64827370248924e-11,"fixed"
"5","Group1",-0.214244626378252,0.129469280541447,-1.65479120206947,0.0979668592357259,"fixed"
"6","SNR1",0.0381748994706813,0.129468207332111,0.294859257398654,0.768101396774673,"fixed"
"7","Condition1",0.194811532823227,0.0263750077306772,7.38621708901488,1.51065077124196e-13,"fixed"
"8","Group1:SNR1",-0.148209209615713,0.129491786221799,-1.14454525603542,0.252397580672553,"fixed"
"9","Group1:Condition1",-0.0431146437429183,0.0263680249685727,-1.63511085090011,0.102025811883135,"fixed"
"10","SNR1:Condition1",0.00918852281012907,0.0263650886380556,0.348510977386447,0.727456471202884,"fixed"
"11","ot1:Group1",-0.322429032909559,0.211864010397953,-1.52186788262871,0.128042188127803,"fixed"
"12","ot1:SNR1",0.574371379459956,0.211761593295433,2.71234915888944,0.00668081800030002,"fixed"
"13","ot1:Condition1",1.00963262049897,0.148400785348952,6.80341831160061,1.02165432357095e-11,"fixed"
"14","ot2:Group1",-0.0308186437947485,0.133343299154414,-0.231122553515493,0.817219594237708,"fixed"
"15","ot2:SNR1",-0.290257319670941,0.133099037879752,-2.18076196713888,0.0292010270024442,"fixed"
"16","ot2:Condition1",-0.0299099724674501,0.102370323874684,-0.292174248701843,0.770153399586674,"fixed"
"17","ot3:Group1",0.139279621555141,0.0776649531630795,1.79333941350204,0.0729186688640728,"fixed"
"18","ot3:SNR1",-0.368207717136815,0.0776322371933139,-4.74297444526726,2.10602845414873e-06,"fixed"
"19","ot3:Condition1",-0.393097825616808,0.0776302430991517,-5.06372014209374,4.11153095440219e-07,"fixed"
"20","Group1:SNR1:Condition1",-0.0183774921826445,0.0263659285798653,-0.69701668678109,0.485792350983691,"fixed"
"21","ot1:Group1:SNR1",0.14366723170381,0.212758769707983,0.675258800852239,0.499511354230043,"fixed"
"22","ot1:Group1:Condition1",0.108267883554992,0.148318950467758,0.729966624045976,0.465410586063097,"fixed"
"23","ot1:SNR1:Condition1",-0.0843340098776817,0.14832457156517,-0.568577471606772,0.569642916962637,"fixed"
"24","ot2:Group1:SNR1",0.144632512665922,0.134798308563064,1.07295495179198,0.28329132863682,"fixed"
"25","ot2:Group1:Condition1",-0.00520355311812701,0.102313794486356,-0.0508587639061801,0.959438064595163,"fixed"
"26","ot2:SNR1:Condition1",-0.206620643403392,0.102329192540783,-2.01917593868479,0.0434689362426406,"fixed"
"27","ot3:Group1:SNR1",-0.111042688496626,0.0776672572117543,-1.42972331562934,0.152796445716855,"fixed"
"28","ot3:Group1:Condition1",0.104444257768499,0.0776121647974665,1.34572019787172,0.178392770013383,"fixed"
"29","ot3:SNR1:Condition1",0.0200874764955875,0.0776049652689245,0.258842671032431,0.795756632794526,"fixed"
"30","ot1:Group1:SNR1:Condition1",0.0302527813572605,0.148260620010873,0.204051361413718,0.838313362552774,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.118862510785311,0.102311488915264,-1.16177090222737,0.245328536488434,"fixed"
"32","ot3:Group1:SNR1:Condition1",0.0056138936059741,0.0775831911268861,0.0723596635357866,0.942315684445652,"fixed"
"33","sd_(Intercept).Subject:Condition",0.318808034980747,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",1.75883139028401,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",1.15152729048995,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",0.811547627332665,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",-0.121873104599092,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",-0.0208254642132841,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",0.36526744925441,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",-0.215673347867374,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",-0.426273704337277,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",-0.246365329717527,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",1.13107988887419,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",1.33303069452536,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",0.740536485369367,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",0.706673640214849,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",0.344525061045159,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",0.599692879750955,NA,NA,NA,"Subject"
