"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",1.98760692827584,0.128360434602422,15.4845761813768,4.40958886168375e-54,"fixed"
"2","ot1",8.04510311303835,0.567605833378705,14.1737498805279,1.33193942606845e-45,"fixed"
"3","ot2",0.243109566927378,0.245149754584139,0.991677790335863,0.321354728565646,"fixed"
"4","ot3",-0.198723412055477,0.14086023626769,-1.41078431586487,0.158308220497553,"fixed"
"5","Group1",-0.680613625829354,0.128127444860786,-5.31200498510572,1.08425636774839e-07,"fixed"
"6","SNR1",0.642452894084491,0.128174677405175,5.01232308198929,5.37768118077088e-07,"fixed"
"7","Condition1",0.48948341093648,0.0592737049700759,8.25801949082809,1.48109373162093e-16,"fixed"
"8","Group1:SNR1",-0.411164622030195,0.128179198835406,-3.2077328128581,0.00133785727269602,"fixed"
"9","Group1:Condition1",-0.164627685268146,0.0590617756547444,-2.78738123673262,0.00531359269758786,"fixed"
"10","SNR1:Condition1",0.265347305000876,0.0591694699844303,4.4845307059654,7.307458309427e-06,"fixed"
"11","ot1:Group1",-1.61892457370326,0.561136506839685,-2.88508153358445,0.00391312303330383,"fixed"
"12","ot1:SNR1",2.1890091316485,0.562124228698532,3.89417324479437,9.85342125086834e-05,"fixed"
"13","ot1:Condition1",1.54989902428782,0.358495657084366,4.32334114419434,1.53683809362592e-05,"fixed"
"14","ot2:Group1",-0.0967381786676105,0.23500229550234,-0.411647803102618,0.680597588398117,"fixed"
"15","ot2:SNR1",-0.584270882766074,0.236987802042497,-2.46540487624465,0.0136858508849817,"fixed"
"16","ot2:Condition1",0.0823646499305476,0.187271140462774,0.439814964158452,0.660071128641515,"fixed"
"17","ot3:Group1",-0.129188651478876,0.13560678435243,-0.952671004594621,0.340756788856424,"fixed"
"18","ot3:SNR1",0.0951423084605041,0.13667610294665,0.696115168703939,0.486356707785514,"fixed"
"19","ot3:Condition1",-0.251018058458755,0.135156610610855,-1.85723848300317,0.0632772321850401,"fixed"
"20","Group1:SNR1:Condition1",-0.269230457032351,0.0592257929825198,-4.54583119067419,5.4718880333986e-06,"fixed"
"21","ot1:Group1:SNR1",-0.639976645973963,0.562565153344368,-1.13760449286522,0.255285669720862,"fixed"
"22","ot1:Group1:Condition1",-0.512825653185064,0.354672048578762,-1.44591505093241,0.148201029876935,"fixed"
"23","ot1:SNR1:Condition1",1.10832012997913,0.356351647267978,3.11018663299643,0.00186969166993909,"fixed"
"24","ot2:Group1:SNR1",-0.0750032565635691,0.236697535075005,-0.316873838757137,0.751339333518125,"fixed"
"25","ot2:Group1:Condition1",0.143073398555813,0.183672678125267,0.778958525656358,0.436004146397793,"fixed"
"26","ot2:SNR1:Condition1",-0.045892141616119,0.185032521141439,-0.248022030576122,0.804117361319676,"fixed"
"27","ot3:Group1:SNR1",-0.0283063035607393,0.136272123190499,-0.207718958933141,0.835448413458411,"fixed"
"28","ot3:Group1:Condition1",-0.152828315818013,0.133902816131985,-1.14133757775022,0.253729470207908,"fixed"
"29","ot3:SNR1:Condition1",-0.0175031997241827,0.134280420536,-0.130348115192938,0.89629101433818,"fixed"
"30","ot1:Group1:SNR1:Condition1",-1.26780487385952,0.358094277927128,-3.54042203968843,0.000399487640901717,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.220089471575854,0.187043053323387,-1.17667813728068,0.239323997227936,"fixed"
"32","ot3:Group1:SNR1:Condition1",0.0108016655842914,0.134975344443119,0.0800269532843713,0.936215819093636,"fixed"
"33","sd_(Intercept).Subject:Condition",0.720903205955565,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",4.11496871237001,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",1.94337752031503,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",1.44693365932542,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",0.698529057403019,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",0.0267745969055917,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",-0.126777939830282,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",0.438566962510893,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",-0.558753430023366,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",-0.226707208183364,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",1.01468605369882,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",3.84923210056653,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",1.25197429221311,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",-0.322202167608803,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",0.335491430838358,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",-0.999900989577625,NA,NA,NA,"Subject"
