"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-1.02715615977107,0.139429223785508,-7.3668642188757,1.74688244066744e-13
"2","fixed",NA,"ot1",7.41084198001894,0.293523798672535,25.2478402553202,1.19613991333297e-140
"3","fixed",NA,"ot2",1.70154523634865,0.15659426644539,10.865948511225,1.67473736171888e-27
"4","fixed",NA,"ot3",-1.03968139531372,0.105351477714968,-9.86869304412237,5.69011466464245e-23
"5","fixed",NA,"Group1",-0.236620179441754,0.139398342786911,-1.69743897030009,0.0896137001282513
"6","fixed",NA,"SNR1",0.0380329518308117,0.139398720990428,0.272835730203172,0.784979492427171
"7","fixed",NA,"Condition1",0.191679511273767,0.0229138404202808,8.36522851508179,5.99985275317781e-17
"8","fixed",NA,"Group1:SNR1",-0.159230052799035,0.139413882467388,-1.14213914698403,0.253396185614434
"9","fixed",NA,"Group1:Condition1",-0.0391152485744521,0.0229196301699755,-1.70662651554006,0.0878914935230205
"10","fixed",NA,"SNR1:Condition1",-0.00540646913670738,0.0229136605349488,-0.235949604318403,0.813471776024939
"11","fixed",NA,"ot1:Group1",-0.457443094971488,0.291164240167768,-1.57108268071625,0.116163444963557
"12","fixed",NA,"ot1:SNR1",0.65100082444502,0.291027863242523,2.23690205189226,0.0252927424305011
"13","fixed",NA,"ot1:Condition1",0.9516459289797,0.17995885841187,5.28813050592751,1.23572803749132e-07
"14","fixed",NA,"ot2:Group1",-0.167084515446005,0.153201165374726,-1.09062170015039,0.27543937698221
"15","fixed",NA,"ot2:SNR1",-0.188259254651304,0.152921092961926,-1.23108755636593,0.218290119061703
"16","fixed",NA,"ot2:Condition1",-0.236211559561203,0.127263940498221,-1.85607610951278,0.0634427104626875
"17","fixed",NA,"ot3:Group1",0.0780908115070739,0.105076997300826,0.743177036963734,0.45737450394079
"18","fixed",NA,"ot3:SNR1",-0.218860204309408,0.105066056847528,-2.08307241059802,0.0372446237459094
"19","fixed",NA,"ot3:Condition1",-0.572158871465153,0.105011676660541,-5.4485261988027,5.07889110039975e-08
"20","fixed",NA,"Group1:SNR1:Condition1",-0.0325133051774434,0.0229103366093048,-1.41915440754539,0.155854004739704
"21","fixed",NA,"ot1:Group1:SNR1",-0.0488141259850358,0.292352429651396,-0.166970139578598,0.867393544228151
"22","fixed",NA,"ot1:Group1:Condition1",0.174006596476118,0.180078271693694,0.966283132548588,0.333902523978713
"23","fixed",NA,"ot1:SNR1:Condition1",-0.0319848726842746,0.179967457649342,-0.177725868343351,0.858938268660851
"24","fixed",NA,"ot2:Group1:SNR1",-0.0390101690400742,0.154714798234363,-0.252142454925232,0.800930955511995
"25","fixed",NA,"ot2:Group1:Condition1",0.00826422014170741,0.127325436455827,0.0649062777379481,0.948248622224284
"26","fixed",NA,"ot2:SNR1:Condition1",-0.206886353759583,0.127265765773572,-1.6256245542707,0.104029548485942
"27","fixed",NA,"ot3:Group1:SNR1",-0.347009308468809,0.105087009891734,-3.30211420827669,0.00095958990107364
"28","fixed",NA,"ot3:Group1:Condition1",0.0200740096017467,0.105063287675921,0.191065880820969,0.848473978317368
"29","fixed",NA,"ot3:SNR1:Condition1",0.191596608111263,0.105011399073814,1.82453152515936,0.0680717548280475
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.0887250588948534,0.179862110832096,-0.493294882865461,0.62180424352909
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.19904444775823,0.127218113862639,-1.56459203579408,0.117678597492911
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",-0.0680553463228595,0.104976448715249,-0.648291565925049,0.516796388008864
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.277425133110276,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.0526265696400163,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",-0.104951579777635,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",0.0447326660227252,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",2.16386081934116,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",-0.0472135113458029,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.446708737309056,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",1.48152593626204,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.322591726888024,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",1.19108057271666,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.22811434114619,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",0.531416450583701,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",0.776704175776455,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",2.02514242817743,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.546436291696265,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",0.738999960971789,NA,NA,NA
