"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",0.806003276315702,0.120878282757136,6.66789151807437,2.595044767771e-11,"fixed"
"2","ot1",13.2978504651052,0.62445281685147,21.295204547485,1.25756154455932e-100,"fixed"
"3","ot2",-0.365395854620796,0.408804166805659,-0.893816365610824,0.371420151400003,"fixed"
"4","ot3",1.54231634402566,0.229784998260216,6.71199754423956,1.91977926871909e-11,"fixed"
"5","Group1",-0.488034694279958,0.1208159476515,-4.03948902248999,5.35677749199939e-05,"fixed"
"6","SNR1",0.408992019808054,0.120837303626876,3.38465033174646,0.00071268980433798,"fixed"
"7","Condition1",0.39462942879998,0.0410057806726227,9.62375114744376,6.34732404124994e-22,"fixed"
"8","Group1:SNR1",-0.303184415989268,0.120836533333394,-2.50904596172721,0.0121057731808622,"fixed"
"9","Group1:Condition1",-0.118368417453988,0.0409136928648415,-2.89312475031325,0.00381429766444421,"fixed"
"10","SNR1:Condition1",0.144981529133661,0.0409832111561283,3.53758344072513,0.000403806573144137,"fixed"
"11","ot1:Group1",-2.19909026091904,0.621295744854658,-3.53952248849457,0.00040085161584107,"fixed"
"12","ot1:SNR1",3.15635707623134,0.622804813844288,5.06797154753604,4.02077487780166e-07,"fixed"
"13","ot1:Condition1",1.4513738924352,0.340501622503962,4.26245808099876,2.02190435681496e-05,"fixed"
"14","ot2:Group1",-0.590275157458376,0.405953250758769,-1.45404712575916,0.145933241203501,"fixed"
"15","ot2:SNR1",1.26013992748501,0.407167290497044,3.09489479360367,0.00196882719380012,"fixed"
"16","ot2:Condition1",1.0827073350733,0.258455789002578,4.18913942400608,2.80014327432771e-05,"fixed"
"17","ot3:Group1",-0.137558289098393,0.228792412698246,-0.601236236272479,0.54768265250872,"fixed"
"18","ot3:SNR1",-0.198185983425327,0.229084822541136,-0.865120531456157,0.386972636809657,"fixed"
"19","ot3:Condition1",0.680775327461628,0.228403762631178,2.98057842663885,0.00287704557778614,"fixed"
"20","Group1:SNR1:Condition1",-0.155706943613382,0.0409494673755637,-3.80241682230766,0.000143291381765806,"fixed"
"21","ot1:Group1:SNR1",-1.40027501796352,0.621839008648385,-2.25182884715954,0.0243330899609485,"fixed"
"22","ot1:Group1:Condition1",-0.917070779089365,0.338589731088464,-2.70850145437447,0.00675878158933185,"fixed"
"23","ot1:SNR1:Condition1",1.58665825607804,0.33994141495461,4.66744617242325,3.04966609144612e-06,"fixed"
"24","ot2:Group1:SNR1",-0.377278074323658,0.406518538892727,-0.928071018240118,0.353370731968336,"fixed"
"25","ot2:Group1:Condition1",-0.496856572320859,0.256901325560201,-1.9340366237403,0.0531086250823099,"fixed"
"26","ot2:SNR1:Condition1",0.772593809121835,0.25792775046877,2.99538846718775,0.00274095520021651,"fixed"
"27","ot3:Group1:SNR1",0.114543767571143,0.229028239187329,0.500129451187259,0.616983929852967,"fixed"
"28","ot3:Group1:Condition1",0.0229706457276338,0.228013184673855,0.100742620478243,0.919754777209637,"fixed"
"29","ot3:SNR1:Condition1",-0.0641001884487452,0.228239562882365,-0.280846088378563,0.778828452199247,"fixed"
"30","ot1:Group1:SNR1:Condition1",-1.48510932143489,0.339577783129634,-4.37339954265485,1.22326548022017e-05,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.576533095412177,0.25779517803026,-2.23639984198814,0.0253255914904548,"fixed"
"32","ot3:Group1:SNR1:Condition1",-0.306234074602023,0.228261706443814,-1.34159197954389,0.179728328161806,"fixed"
"33","sd_(Intercept).Subject:Condition",0.50361076229847,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",4.00841870969871,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",3.02678716933158,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",2.78358573940259,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",0.729818719663305,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",0.496725918173982,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",0.404072032516792,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",0.548134150330316,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",0.156281879075601,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",0.639198094031032,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",1.01595040956583,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",4.67173304974334,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",2.8060567075181,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",-0.339146398903451,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",-0.754060532018041,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",0.63577274222573,NA,NA,NA,"Subject"
