"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",1.17628350077841,0.126241457708269,9.31772748930609,1.18858688002869e-20,"fixed"
"2","ot1",9.31317893755073,0.549611387282301,16.9450254362491,2.09443513957307e-64,"fixed"
"3","ot2",0.47361469937538,0.323397767703498,1.46449588300686,0.143058507137382,"fixed"
"4","ot3",0.697813877641001,0.176928068697351,3.94405411633507,8.01155664937052e-05,"fixed"
"5","Group1",-0.511246398830338,0.126166070724126,-4.05217025382544,5.0744715422866e-05,"fixed"
"6","SNR1",0.433723013151179,0.126185069442695,3.43719756280792,0.000587766715228489,"fixed"
"7","Condition1",0.39500696736077,0.0427114588974525,9.24826680140232,2.28162226331313e-20,"fixed"
"8","Group1:SNR1",-0.308843212366507,0.126186734649705,-2.44750934576331,0.0143847394562562,"fixed"
"9","Group1:Condition1",-0.102274166833508,0.0426623922277722,-2.39729095094976,0.0165168027637918,"fixed"
"10","SNR1:Condition1",0.141074371692878,0.0426877234536106,3.30479960699206,0.000950443299945595,"fixed"
"11","ot1:Group1",-1.66532436485035,0.547216251561874,-3.04326554647665,0.00234025721652193,"fixed"
"12","ot1:SNR1",2.71415234080419,0.54751296826881,4.95723845480064,7.15021997376546e-07,"fixed"
"13","ot1:Condition1",1.0218503903389,0.290724203640254,3.51484457621339,0.000440011426571209,"fixed"
"14","ot2:Group1",-0.127890939627022,0.319983493482722,-0.39967980296436,0.689392369893373,"fixed"
"15","ot2:SNR1",0.299787753928917,0.320588796836628,0.935116126599048,0.349728456524741,"fixed"
"16","ot2:Condition1",0.849886670074952,0.243535579541204,3.48978441538625,0.000483410350964285,"fixed"
"17","ot3:Group1",0.185342009175278,0.175591306989595,1.05553066579919,0.291182692081165,"fixed"
"18","ot3:SNR1",-0.471615611152057,0.175672266229753,-2.68463327350291,0.00726094281629431,"fixed"
"19","ot3:Condition1",-0.121373517047533,0.175156080557846,-0.692944924669336,0.488344115244935,"fixed"
"20","Group1:SNR1:Condition1",-0.169083465031395,0.0427127658133467,-3.95861662928325,7.53851273024514e-05,"fixed"
"21","ot1:Group1:SNR1",-1.10915913441184,0.548001894063215,-2.02400602338775,0.042969531994648,"fixed"
"22","ot1:Group1:Condition1",-0.60350542251763,0.28941565193095,-2.08525495594694,0.0370461638095904,"fixed"
"23","ot1:SNR1:Condition1",1.27400534347039,0.290039261939807,4.39252718735295,1.1204061401757e-05,"fixed"
"24","ot2:Group1:SNR1",0.128592613803872,0.320831283005683,0.400810708354753,0.688559494293111,"fixed"
"25","ot2:Group1:Condition1",0.0942772023577914,0.242652473952493,0.388527678379448,0.697625575293786,"fixed"
"26","ot2:SNR1:Condition1",0.042051012669985,0.243005863418165,0.173045259396163,0.862615852359799,"fixed"
"27","ot3:Group1:SNR1",0.0881468417191,0.176030713690332,0.500746942798659,0.61654923038044,"fixed"
"28","ot3:Group1:Condition1",0.302989574616002,0.17490121319864,1.73234690071525,0.0832118160916214,"fixed"
"29","ot3:SNR1:Condition1",-0.197914530919148,0.174922114498942,-1.13144373703729,0.257868371590129,"fixed"
"30","ot1:Group1:SNR1:Condition1",-1.1026601848098,0.290767276124255,-3.79224305949269,0.000149292684656868,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.327019978650564,0.243634056938445,-1.34225888925368,0.179512068160065,"fixed"
"32","ot3:Group1:SNR1:Condition1",-0.145471241678996,0.175164303808568,-0.830484513773861,0.406264900000512,"fixed"
"33","sd_(Intercept).Subject:Condition",0.526515230595985,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",3.42219563627126,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",2.88323633332426,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",2.08854653239567,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",0.649063855212891,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",0.345805967059849,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",0.25833950180199,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",0.345394648435145,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",-0.0115913216206751,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",0.708174330880659,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",1.0610430947122,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",4.14106882914241,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",1.84257601368885,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",-0.351765265898503,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",-0.564234801906836,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",0.631209112343725,NA,NA,NA,"Subject"
